SSID,BSSID,Encryption,latitude,longitude,Channel,Frequency,Last Update
ORBI53-Guest,12:36:c9:86:f3:43,wpa2,31.88524528,-102.3108025,9,,11/12/24 0:17
DIRECT-7B-HP Smart Tank Plus 650,32:13:8b:14:3d:7b,wpa2,31.88524528,-102.3108025,6,,11/12/24 0:17
,7c:49:cf:0b:0a:24,unknown,31.88524528,-102.3108025,116,,11/12/24 0:17
,64:da:ed:fe:98:28,open,31.88524528,-102.3108025,116,,11/12/24 0:17
Crump���s Network,7c:49:cf:0b:0a:26,wpa2,31.88524528,-102.3108025,116,,11/12/24 0:17
Crump���s Network,7c:49:cf:0b:0a:25,wpa2,31.88524528,-102.3108025,6,,11/12/24 0:17
,7c:49:cf:0b:0a:28,open,31.88524528,-102.3108025,116,,11/12/24 0:17
,7c:49:cf:0b:0a:27,open,31.88524528,-102.3108025,6,,11/12/24 0:17
Crump���s Network,7c:49:cf:0a:a9:c5,wpa2,31.88524528,-102.3108025,6,,11/12/24 0:17
,7c:49:cf:0a:a9:c4,unknown,31.88524528,-102.3108025,116,,11/12/24 0:17
Hutson,70:3a:cb:e3:59:49,wpa2,31.88524528,-102.3108025,1,,11/12/24 0:17
ATT4n7n2P2,84:70:d7:3c:4f:88,wpa2,31.88524528,-102.3108025,157,,11/12/24 0:17
NETGEAR28-5G,10:0c:6b:67:ca:ec,wpa2,31.88524528,-102.3108025,116,,11/12/24 0:17
,84:70:d7:3c:4f:89,open,31.88524528,-102.3108025,36,,11/12/24 0:17
ATT4n7n2P2,84:70:d7:3c:4f:86,wpa2,31.88524528,-102.3108025,36,,11/12/24 0:17
ATT4n7n2P2,84:70:d7:3c:4f:87,wpa2,31.88524528,-102.3108025,11,,11/12/24 0:17
ATT4n7n2P2,d0:fc:d0:be:0e:0c,wpa2,31.88519071,-102.3107909,132,,11/12/24 0:17
,08:36:c9:86:f3:45,wpa2,31.88519071,-102.3107909,157,,11/12/24 0:17
,d0:fc:d0:be:0e:0f,wpa2,31.88519071,-102.3107909,132,,11/12/24 0:17
ATT4n7n2P2,d0:fc:d0:be:0e:08,wpa2,31.88519071,-102.3107909,48,,11/12/24 0:17
,7c:49:cf:0a:a9:c8,open,31.88519071,-102.3107909,116,,11/12/24 0:17
Crump���s Network,7c:49:cf:0a:a9:c6,wpa2,31.88519071,-102.3107909,116,,11/12/24 0:17
,84:70:d7:3c:4f:83,unknown,31.8841971,-102.3102181,36,,11/12/24 0:18
,84:70:d7:3a:8d:e9,open,31.8841971,-102.3102181,36,,11/12/24 0:18
Crump���s Network,64:da:ed:fe:98:26,wpa2,31.8841971,-102.3102181,116,,11/12/24 0:18
ATT4n7n2P2,84:70:d7:3a:8d:e6,wpa2,31.8841971,-102.3102181,36,,11/12/24 0:18
Crump���s Network,64:da:ed:fe:98:25,wpa2,31.8841971,-102.3102181,6,,11/12/24 0:18
ORBI53-Guest,12:36:c9:86:f3:43,wpa2,31.8841971,-102.3102181,9,,11/12/24 0:18
DIRECT-7B-HP Smart Tank Plus 650,32:13:8b:14:3d:7b,wpa2,31.8841971,-102.3102181,6,,11/12/24 0:18
,7c:49:cf:0b:0a:24,unknown,31.8841971,-102.3102181,116,,11/12/24 0:18
,64:da:ed:fe:98:28,open,31.8841971,-102.3102181,116,,11/12/24 0:18
Crump���s Network,7c:49:cf:0b:0a:26,wpa2,31.8841971,-102.3102181,116,,11/12/24 0:18
Crump���s Network,7c:49:cf:0b:0a:25,wpa2,31.8841971,-102.3102181,6,,11/12/24 0:18
,7c:49:cf:0b:0a:28,open,31.8841971,-102.3102181,116,,11/12/24 0:18
,7c:49:cf:0b:0a:27,open,31.8841971,-102.3102181,6,,11/12/24 0:18
Crump���s Network,7c:49:cf:0a:a9:c5,wpa2,31.8841971,-102.3102181,6,,11/12/24 0:18
,7c:49:cf:0a:a9:c4,unknown,31.8841971,-102.3102181,116,,11/12/24 0:18
Hutson,70:3a:cb:e3:59:49,wpa2,31.8841971,-102.3102181,1,,11/12/24 0:18
ATT4n7n2P2,84:70:d7:3c:4f:88,wpa2,31.8841971,-102.3102181,157,,11/12/24 0:18
NETGEAR28-5G,10:0c:6b:67:ca:ec,wpa2,31.8841971,-102.3102181,116,,11/12/24 0:18
,84:70:d7:3c:4f:89,open,31.8841971,-102.3102181,36,,11/12/24 0:18
ATT4n7n2P2,84:70:d7:3c:4f:86,wpa2,31.8841971,-102.3102181,36,,11/12/24 0:18
ATT4n7n2P2,84:70:d7:3c:4f:87,wpa2,31.8841971,-102.3102181,11,,11/12/24 0:18
ATT4n7n2P2,d0:fc:d0:be:0e:0c,wpa2,31.88413936,-102.3101846,132,,11/12/24 0:18
,08:36:c9:86:f3:45,wpa2,31.88413936,-102.3101846,157,,11/12/24 0:18
,d0:fc:d0:be:0e:0f,wpa2,31.88413936,-102.3101846,132,,11/12/24 0:18
ATT4n7n2P2,d0:fc:d0:be:0e:08,wpa2,31.88413936,-102.3101846,48,,11/12/24 0:18
,7c:49:cf:0a:a9:c8,open,31.88413936,-102.3101846,116,,11/12/24 0:18
Crump���s Network,7c:49:cf:0a:a9:c6,wpa2,31.88413936,-102.3101846,116,,11/12/24 0:18
ARRIS-B0FD-5G,60:d2:48:f2:d2:8d,wpa2,31.88369303,-102.3099874,161,,11/12/24 0:18
ARRIS-852A,c0:c5:22:de:85:28,wpa2,31.88369303,-102.3099874,11,,11/12/24 0:18
DECO-Wallace1_Guest,5e:62:8b:a8:a4:16,wpa2,31.88369303,-102.3099874,44,,11/12/24 0:18
,bc:a5:11:3c:a0:4c,wpa2,31.88369303,-102.3099874,157,,11/12/24 0:18
ARRIS-852A-5G,c0:c5:22:de:85:2d,wpa2,31.88369303,-102.3099874,36,,11/12/24 0:18
,5c:62:8b:f8:a4:16,wpa2,31.88363816,-102.3099338,9,,11/12/24 0:18
DECO-Wallace1,5e:62:8b:28:a4:16,wpa2,31.88363816,-102.3099338,9,,11/12/24 0:18
ARRIS-A919-5G,d4:3f:cb:da:23:d9,wpa2,31.88363816,-102.3099338,36,,11/12/24 0:18
ORBI58-2.4,ca:a5:11:3c:a0:4a,wpa2,31.88360669,-102.3097738,5,,11/12/24 0:18
NETGEAR90-5G,2c:30:33:df:fc:98,wpa2,31.88360669,-102.3097738,44,,11/12/24 0:18
tl801239,88:6a:e3:80:12:39,wpa2,31.88360669,-102.3097738,1,,11/12/24 0:18
DobbsWiFi_EXT,50:91:e3:40:90:7f,wpa2,31.88360669,-102.3097738,6,,11/12/24 0:18
,d2:3e:07:f8:6f:68,wpa2,31.88360669,-102.3097738,1,,11/12/24 0:18
ORBI26,c2:a5:11:b7:88:69,wpa2,31.88363163,-102.3096035,10,,11/12/24 0:18
Tres Iguanas,bc:3e:07:f8:6f:68,wpa2,31.88363163,-102.3096035,1,,11/12/24 0:18
ARRIS-A919,d4:3f:cb:da:23:d8,wpa2,31.88363163,-102.3096035,11,,11/12/24 0:18
,c6:a5:11:3c:a0:4a,wpa2,31.88363163,-102.3096035,5,,11/12/24 0:18
ATT8abuF5S,06:93:97:05:44:03,wpa2,31.88365763,-102.3094108,36,,11/12/24 0:18
ATT8abuF5S,06:93:97:05:44:03,wpa2,31.8838656,-102.3084003,36,,11/12/24 0:18
ATT8abuF5S,06:93:97:05:44:03,wpa2,31.88413158,-102.30735,36,,11/12/24 0:19
ATT8abuF5S,06:93:97:05:44:03,wpa2,31.8844079,-102.3062982,36,,11/12/24 0:19
ATT8abuF5S,06:93:97:05:44:03,wpa2,31.88414754,-102.305281,36,,11/12/24 0:19
ATT8abuF5S,06:93:97:05:44:03,wpa2,31.88313602,-102.3049589,36,,11/12/24 0:20
,30:34:22:2f:4d:e4,unknown,31.88265314,-102.3048375,108,,11/12/24 0:20
Neboh wfifi,30:34:22:2f:4d:e6,wpa2,31.88265314,-102.3048375,6,,11/12/24 0:20
,fc:3f:a6:58:4f:8a,open,31.88265314,-102.3048375,100,,11/12/24 0:20
McDermett,18:90:88:17:ab:d4,wpa2,31.88265314,-102.3048375,44,,11/12/24 0:20
,30:34:22:2f:4d:e9,open,31.88265314,-102.3048375,6,,11/12/24 0:20
ATT5M3v7f3,84:61:a0:13:56:d0,wpa2,31.88265314,-102.3048375,11,,11/12/24 0:20
ATTJxreXqm,90:d0:92:46:99:94,wpa2,31.88265314,-102.3048375,1,,11/12/24 0:20
,62:a6:e6:97:d5:27,wpa2,31.88265314,-102.3048375,40,,11/12/24 0:20
,30:34:22:2f:4d:ea,open,31.88265314,-102.3048375,108,,11/12/24 0:20
,fc:3f:a6:58:4f:83,unknown,31.88265314,-102.3048375,1,,11/12/24 0:20
,6c:ae:f6:41:00:ab,open,31.88265314,-102.3048375,44,,11/12/24 0:20
CAM_AP_d225,90:31:4b:75:d2:25,open,31.88265314,-102.3048375,1,,11/12/24 0:20
ATTvq7r2VS,d0:fc:d0:d8:46:a8,wpa2,31.88265314,-102.3048375,48,,11/12/24 0:20
,fc:3f:a6:58:4f:89,open,31.88265314,-102.3048375,1,,11/12/24 0:20
McDermett,6c:ae:f6:41:00:a8,wpa2,31.88265314,-102.3048375,44,,11/12/24 0:20
,18:90:88:17:ab:d5,open,31.88265314,-102.3048375,6,,11/12/24 0:20
McDermett,6c:ae:f6:41:00:a7,wpa2,31.88265314,-102.3048375,149,,11/12/24 0:20
Zuniga Modem,fc:3f:a6:58:4f:87,wpa2,31.88265314,-102.3048375,100,,11/12/24 0:20
McDermett,6c:ae:f6:41:00:a6,wpa2,31.88265314,-102.3048375,6,,11/12/24 0:20
,6c:ae:f6:41:00:a5,unknown,31.88265314,-102.3048375,44,,11/12/24 0:20
,88:b6:ee:03:c7:ed,wpa2,31.88265314,-102.3048375,136,,11/12/24 0:20
NETGEAR30,94:a6:7e:ee:eb:45,wpa2,31.88265314,-102.3048375,1,,11/12/24 0:20
Pretty_Fly_For_A_Wifi,5c:a6:e6:97:d5:27,wpa2,31.88265314,-102.3048375,40,,11/12/24 0:20
,fc:3f:a6:58:4f:84,unknown,31.88265314,-102.3048375,100,,11/12/24 0:20
,f8:bc:0e:03:7d:a9,open,31.88251092,-102.3048811,11,,11/12/24 0:20
tlafca85,88:6a:e3:af:ca:85,wpa2,31.88251092,-102.3048811,11,,11/12/24 0:20
ore_inerCB_3261,62:01:94:7a:4e:7b,open,31.88251092,-102.3048811,1,,11/12/24 0:20
McDermett,18:90:88:17:ab:d3,wpa2,31.88251092,-102.3048811,6,,11/12/24 0:20
Neboh wfifi,30:34:22:2f:4d:e7,wpa2,31.88251092,-102.3048811,108,,11/12/24 0:20
ATTJxreXqm,90:d0:92:46:99:98,wpa2,31.88251092,-102.3048811,52,,11/12/24 0:20
ARRIS-4D4D,f0:af:85:b4:4e:bc,wpa2,31.88251092,-102.3048811,11,,11/12/24 0:20
,f8:bc:0e:03:7d:a3,unknown,31.88251092,-102.3048811,11,,11/12/24 0:20
Helguera,f8:bc:0e:03:7d:a6,wpa2,31.88251092,-102.3048811,11,,11/12/24 0:20
,30:34:22:2f:4d:e3,unknown,31.8823214,-102.3050291,6,,11/12/24 0:20
Neboh wfifi,30:34:22:2f:4d:e6,wpa2,31.8823214,-102.3050291,6,,11/12/24 0:20
,18:90:88:17:ab:d2,unknown,31.8823214,-102.3050291,44,,11/12/24 0:20
,30:34:22:2f:4d:e9,open,31.8823214,-102.3050291,6,,11/12/24 0:20
[range]_E30AJT7113169E,88:57:1d:bb:97:f2,wpa2,31.8823214,-102.3050291,1,,11/12/24 0:20
ATTJxreXqm,34:98:b5:fa:75:57,wpa2,31.8823214,-102.3050291,149,,11/12/24 0:20
,62:a6:e6:97:d5:27,wpa2,31.8823214,-102.3050291,40,,11/12/24 0:20
ARRIS-4D4D-5G,f0:af:85:b4:4e:bd,wpa2,31.8823214,-102.3050291,157,,11/12/24 0:20
,20:be:cd:1b:1b:65,unknown,31.8823214,-102.3050291,153,,11/12/24 0:20
Helguera,18:90:88:3a:c0:c4,wpa2,31.8823214,-102.3050291,44,,11/12/24 0:20
ATTUsG2aMS,d0:fc:d0:8b:16:98,wpa2,31.8823214,-102.3050291,52,,11/12/24 0:20
,18:90:88:17:ab:d6,open,31.8823214,-102.3050291,44,,11/12/24 0:20
Pretty_Fly_For_A_Wifi,5c:a6:e6:97:d5:27,wpa2,31.8823214,-102.3050291,40,,11/12/24 0:20
ATTUsG2aMS,14:59:c0:50:4b:5d,wpa2,31.8823214,-102.3050291,52,,11/12/24 0:20
KEYSCANTX1,84:16:f9:eb:4e:5f,wpa2,31.8822426,-102.3051906,6,,11/12/24 0:20
BreetoKillah-5G,6c:cd:d6:0a:fc:c4,wpa2,31.8822426,-102.3051906,153,,11/12/24 0:20
ATTUsG2aMS,d0:fc:d0:8b:16:94,wpa2,31.8822426,-102.3051906,1,,11/12/24 0:20
ATTUsG2aMS,d0:fc:d0:8b:16:9c,wpa2,31.8822426,-102.3051906,136,,11/12/24 0:20
,d0:fc:d0:8b:16:9f,wpa2,31.8822426,-102.3051906,136,,11/12/24 0:20
ARRIS-4D4D-5G,f0:af:85:b4:4e:bd,wpa2,31.8822426,-102.3051906,157,,11/12/24 0:20
Helguera,f8:bc:0e:03:7d:a7,wpa2,31.88220798,-102.3053099,149,,11/12/24 0:20
Pretty_Fly_For_A_Wifi,20:23:51:f8:9e:e7,wpa2,31.88220798,-102.3053099,40,,11/12/24 0:20
,26:23:51:f8:9e:e7,wpa2,31.88220798,-102.3053099,40,,11/12/24 0:20
,18:90:88:3a:c0:c2,unknown,31.88220798,-102.3053099,44,,11/12/24 0:20
BreetoKillah-5G,6c:cd:d6:0a:fc:c4,wpa2,31.88220798,-102.3053099,153,,11/12/24 0:20
,18:90:88:3a:c0:c6,open,31.88220798,-102.3053099,44,,11/12/24 0:20
tl6ab53a,88:6a:e3:6a:b5:3a,wpa2,31.88220798,-102.3053099,6,,11/12/24 0:20
Zuniga Modem,fc:3f:a6:58:4f:86,wpa2,31.88220798,-102.3053099,1,,11/12/24 0:20
,62:a6:e6:97:d5:27,wpa2,31.88203002,-102.3060677,40,,11/12/24 0:20
Helguera,18:90:88:3a:c0:c4,wpa2,31.88203002,-102.3060677,44,,11/12/24 0:20
ATTUsG2aMS,d0:fc:d0:8b:16:98,wpa2,31.88203002,-102.3060677,52,,11/12/24 0:20
Pretty_Fly_For_A_Wifi,5c:a6:e6:97:d5:27,wpa2,31.88203002,-102.3060677,40,,11/12/24 0:20
ATTUsG2aMS,14:59:c0:50:4b:5d,wpa2,31.88203002,-102.3060677,52,,11/12/24 0:20
ATTUsG2aMS,d0:fc:d0:8b:16:94,wpa2,31.88199341,-102.3062217,1,,11/12/24 0:20
ARRIS-4D4D-5G,f0:af:85:b4:4e:bd,wpa2,31.88199341,-102.3062217,157,,11/12/24 0:20
Helguera,f8:bc:0e:03:7d:a7,wpa2,31.88196634,-102.3063265,149,,11/12/24 0:20
Pretty_Fly_For_A_Wifi,20:23:51:f8:9e:e7,wpa2,31.88196634,-102.3063265,40,,11/12/24 0:20
,26:23:51:f8:9e:e7,wpa2,31.88196634,-102.3063265,40,,11/12/24 0:20
,18:90:88:3a:c0:c2,unknown,31.88196634,-102.3063265,44,,11/12/24 0:20
BreetoKillah-5G,6c:cd:d6:0a:fc:c4,wpa2,31.88196634,-102.3063265,153,,11/12/24 0:20
,18:90:88:3a:c0:c6,open,31.88196634,-102.3063265,44,,11/12/24 0:20
tl6ab53a,88:6a:e3:6a:b5:3a,wpa2,31.88196634,-102.3063265,6,,11/12/24 0:20
Zuniga Modem,fc:3f:a6:58:4f:86,wpa2,31.88196634,-102.3063265,1,,11/12/24 0:20
,62:a6:e6:97:d5:27,wpa2,31.88175925,-102.3071201,40,,11/12/24 0:21
Helguera,18:90:88:3a:c0:c4,wpa2,31.88175925,-102.3071201,44,,11/12/24 0:21
ATTUsG2aMS,d0:fc:d0:8b:16:98,wpa2,31.88175925,-102.3071201,52,,11/12/24 0:21
Pretty_Fly_For_A_Wifi,5c:a6:e6:97:d5:27,wpa2,31.88175925,-102.3071201,40,,11/12/24 0:21
ATTUsG2aMS,14:59:c0:50:4b:5d,wpa2,31.88175925,-102.3071201,52,,11/12/24 0:21
ATTUsG2aMS,d0:fc:d0:8b:16:94,wpa2,31.88170178,-102.3072319,1,,11/12/24 0:21
ARRIS-4D4D-5G,f0:af:85:b4:4e:bd,wpa2,31.88170178,-102.3072319,157,,11/12/24 0:21
Helguera,f8:bc:0e:03:7d:a7,wpa2,31.88164264,-102.3073338,149,,11/12/24 0:21
Pretty_Fly_For_A_Wifi,20:23:51:f8:9e:e7,wpa2,31.88164264,-102.3073338,40,,11/12/24 0:21
,26:23:51:f8:9e:e7,wpa2,31.88164264,-102.3073338,40,,11/12/24 0:21
,18:90:88:3a:c0:c2,unknown,31.88164264,-102.3073338,44,,11/12/24 0:21
BreetoKillah-5G,6c:cd:d6:0a:fc:c4,wpa2,31.88164264,-102.3073338,153,,11/12/24 0:21
,18:90:88:3a:c0:c6,open,31.88164264,-102.3073338,44,,11/12/24 0:21
tl6ab53a,88:6a:e3:6a:b5:3a,wpa2,31.88164264,-102.3073338,6,,11/12/24 0:21
Zuniga Modem,fc:3f:a6:58:4f:86,wpa2,31.88164264,-102.3073338,1,,11/12/24 0:21
,62:a6:e6:97:d5:27,wpa2,31.88123159,-102.3081345,40,,11/12/24 0:21
Helguera,18:90:88:3a:c0:c4,wpa2,31.88123159,-102.3081345,44,,11/12/24 0:21
ATTUsG2aMS,d0:fc:d0:8b:16:98,wpa2,31.88123159,-102.3081345,52,,11/12/24 0:21
Pretty_Fly_For_A_Wifi,5c:a6:e6:97:d5:27,wpa2,31.88123159,-102.3081345,40,,11/12/24 0:21
ATTUsG2aMS,14:59:c0:50:4b:5d,wpa2,31.88123159,-102.3081345,52,,11/12/24 0:21
ATTUsG2aMS,d0:fc:d0:8b:16:94,wpa2,31.88119675,-102.3082384,1,,11/12/24 0:21
ARRIS-4D4D-5G,f0:af:85:b4:4e:bd,wpa2,31.88119675,-102.3082384,157,,11/12/24 0:21
Helguera,f8:bc:0e:03:7d:a7,wpa2,31.88116358,-102.3083426,149,,11/12/24 0:21
Pretty_Fly_For_A_Wifi,20:23:51:f8:9e:e7,wpa2,31.88116358,-102.3083426,40,,11/12/24 0:21
,26:23:51:f8:9e:e7,wpa2,31.88116358,-102.3083426,40,,11/12/24 0:21
,18:90:88:3a:c0:c2,unknown,31.88116358,-102.3083426,44,,11/12/24 0:21
BreetoKillah-5G,6c:cd:d6:0a:fc:c4,wpa2,31.88116358,-102.3083426,153,,11/12/24 0:21
,18:90:88:3a:c0:c6,open,31.88116358,-102.3083426,44,,11/12/24 0:21
tl6ab53a,88:6a:e3:6a:b5:3a,wpa2,31.88116358,-102.3083426,6,,11/12/24 0:21
Zuniga Modem,fc:3f:a6:58:4f:86,wpa2,31.88116358,-102.3083426,1,,11/12/24 0:21
ATTkc59K8s,20:f3:75:18:15:20,wpa2,31.88121107,-102.3089516,1,,11/12/24 0:21
Landgrafwifi,d4:3f:32:06:a8:a6,wpa2,31.88121107,-102.3089516,6,,11/12/24 0:21
ATTTe6nqgs,26:00:ab:5a:3d:23,wpa2,31.88121107,-102.3089516,149,,11/12/24 0:21
,d4:3f:32:06:a8:a4,unknown,31.88129808,-102.308985,100,,11/12/24 0:22
Landgrafwifi,d4:3f:32:06:a8:a7,wpa2,31.88129808,-102.308985,100,,11/12/24 0:22
Landgrafwifi,d4:3f:32:06:a8:a6,wpa2,31.88129808,-102.308985,6,,11/12/24 0:22
,d4:3f:32:06:a8:a9,open,31.88129808,-102.308985,6,,11/12/24 0:22
Landgrafwifi,d4:3f:32:0d:cf:a6,wpa2,31.88129808,-102.308985,6,,11/12/24 0:22
,20:f3:75:18:15:23,wpa2,31.88129808,-102.308985,149,,11/12/24 0:22
ATTkc59K8s,26:f3:75:18:15:23,wpa2,31.88129808,-102.308985,149,,11/12/24 0:22
,d4:3f:32:06:a8:aa,open,31.88129808,-102.308985,100,,11/12/24 0:22
Landgrafwifi,9c:57:bc:fe:28:66,wpa2,31.88129808,-102.308985,6,,11/12/24 0:22
,d4:3f:32:06:a8:a3,unknown,31.88129808,-102.308985,6,,11/12/24 0:22
ORBI58,c2:a5:11:3c:a0:4a,wpa2,31.88174726,-102.3093568,5,,11/12/24 0:22
,c6:a5:11:b7:6d:b6,wpa2,31.88174726,-102.3093568,10,,11/12/24 0:22
,38:42:0b:eb:5f:a5,wpa2,31.88174726,-102.3093568,10,,11/12/24 0:22
ATTTe6nqgs,2c:00:ab:5a:3d:20,wpa2,31.88174726,-102.3093568,4,,11/12/24 0:22
ATTutwGZCI,3c:36:e4:6e:6b:c0,wpa2,31.88174726,-102.3093568,1,,11/12/24 0:22
,42:94:ed:2a:fc:31,wpa2,31.88235927,-102.3097993,5,,11/12/24 0:22
tl801239,88:6a:e3:80:12:39,wpa2,31.88235927,-102.3097993,1,,11/12/24 0:22
,38:42:0b:eb:5f:a5,wpa2,31.88235927,-102.3097993,10,,11/12/24 0:22
ORBI26,c2:a5:11:b7:6d:b6,wpa2,31.88235927,-102.3097993,10,,11/12/24 0:22
,38:94:ed:2a:fc:33,wpa2,31.88235927,-102.3097993,157,,11/12/24 0:22
,bc:a5:11:b7:88:6b,wpa2,31.88235927,-102.3097993,157,,11/12/24 0:22
MotoVAP_M91702SC096L,78:23:ae:40:d4:95,wpa2,31.88235927,-102.3097993,161,,11/12/24 0:22
Frosty,d4:6a:91:ed:ff:b0,wpa2,31.88235927,-102.3097993,6,,11/12/24 0:22
,88:6a:e3:80:12:3a,unknown,31.88235927,-102.3097993,36,,11/12/24 0:22
,c6:a5:11:b7:56:37,wpa2,31.88241109,-102.3098201,10,,11/12/24 0:22
ORBI26,c2:a5:11:b7:88:69,wpa2,31.88241109,-102.3098201,10,,11/12/24 0:22
ORBI26,bc:a5:11:b7:6d:b9,wpa2,31.88241109,-102.3098201,48,,11/12/24 0:22
tlae4642,00:25:f0:ae:46:42,wpa2,31.88241109,-102.3098201,5,,11/12/24 0:22
,bc:a5:11:b7:6d:b8,wpa2,31.88241109,-102.3098201,157,,11/12/24 0:22
,bc:a5:11:b7:56:39,wpa2,31.88241109,-102.3098201,157,,11/12/24 0:22
ORBI58,3e:94:ed:2a:fc:31,wpa2,31.88241109,-102.3098201,5,,11/12/24 0:22
,bc:a5:11:3c:a0:4c,wpa2,31.88241109,-102.3098201,157,,11/12/24 0:22
,c6:38:75:b8:53:3b,wpa2,31.88241109,-102.3098201,10,,11/12/24 0:22
,c6:a5:11:3c:a0:4a,wpa2,31.88241109,-102.3098201,5,,11/12/24 0:22
ORBI58,38:94:ed:2a:fc:34,wpa2,31.88241109,-102.3098201,48,,11/12/24 0:22
,c6:a5:11:b7:56:37,wpa2,31.88266053,-102.3098876,10,,11/12/24 0:22
ORBI26,c2:a5:11:b7:6d:b6,wpa2,31.88266053,-102.3098876,10,,11/12/24 0:22
ORBI26,bc:a5:11:b7:88:6c,wpa2,31.88266053,-102.3098876,48,,11/12/24 0:22
ORBI26,c2:a5:11:b7:56:37,wpa2,31.88266053,-102.3098876,10,,11/12/24 0:22
DECO-Wallace1,5e:62:8b:88:a4:16,wpa2,31.88281324,-102.3098933,44,,11/12/24 0:22
,5c:62:8b:f8:a4:17,wpa2,31.88281324,-102.3098933,44,,11/12/24 0:22
,ae:ae:19:c5:6a:09,wpa2,31.88281324,-102.3098933,5,,11/12/24 0:22
ORBI58,c2:a5:11:3c:a0:4a,wpa2,31.88319752,-102.3098705,5,,11/12/24 0:22
ORBI58-2.4,ca:a5:11:3c:a0:4a,wpa2,31.88319752,-102.3098705,5,,11/12/24 0:22
,bc:a5:11:3c:a0:4c,wpa2,31.88319752,-102.3098705,157,,11/12/24 0:22
Tres Iguanas,bc:3e:07:f8:6f:68,wpa2,31.88319752,-102.3098705,1,,11/12/24 0:22
ORBI58,bc:a5:11:3c:a0:4d,wpa2,31.88319752,-102.3098705,48,,11/12/24 0:22
,d2:3e:07:f8:6f:60,wpa2,31.88319752,-102.3098705,153,,11/12/24 0:22
ORBI58-2.4,c2:a5:11:3c:a0:4d,wpa2,31.88319752,-102.3098705,48,,11/12/24 0:22
,38:42:0b:eb:5f:a5,wpa2,31.88337358,-102.309863,10,,11/12/24 0:22
,42:94:ed:2a:fc:31,wpa2,31.88337358,-102.309863,5,,11/12/24 0:22
tl801239,88:6a:e3:80:12:39,wpa2,31.88337358,-102.309863,1,,11/12/24 0:22
ORBI26,c2:a5:11:b7:88:69,wpa2,31.88343852,-102.3098642,10,,11/12/24 0:22
FVDS2614,18:ee:86:50:08:12,wpa2,31.88365887,-102.3095049,6,,11/12/24 0:22
House,d8:6c:63:e8:05:e3,wpa2,31.88365887,-102.3095049,6,,11/12/24 0:22
DECO-Wallace1_Guest,5e:62:8b:48:a4:16,wpa2,31.88365887,-102.3095049,9,,11/12/24 0:22
Ward,d8:6c:63:dd:51:d0,wpa2,31.88365887,-102.3095049,1,,11/12/24 0:22
,d2:3e:07:f8:6f:68,wpa2,31.88379079,-102.3087028,1,,11/12/24 0:23
NETGEAR90-5G,2c:30:33:df:fc:98,wpa2,31.88379079,-102.3087028,44,,11/12/24 0:23
ARRIS-A919,d4:3f:cb:da:23:d8,wpa2,31.88382606,-102.3085468,11,,11/12/24 0:23
FVDS2614,18:ee:86:50:08:12,wpa2,31.88384529,-102.3084698,6,,11/12/24 0:23
House,d8:6c:63:e8:05:e3,wpa2,31.88384529,-102.3084698,6,,11/12/24 0:23
DECO-Wallace1_Guest,5e:62:8b:48:a4:16,wpa2,31.88384529,-102.3084698,9,,11/12/24 0:23
Ward,d8:6c:63:dd:51:d0,wpa2,31.88384529,-102.3084698,1,,11/12/24 0:23
House,d8:6c:63:e8:05:e3,wpa2,31.88388124,-102.3083141,6,,11/12/24 0:23
ATTzZxxumS,06:b8:1f:4d:95:e3,wpa2,31.88388124,-102.3083141,157,,11/12/24 0:23
,60:5f:8d:f0:2a:d1,unknown,31.88388124,-102.3083141,6,,11/12/24 0:23
Galindo Family,60:5f:8d:f0:2a:d3,wpa2,31.88388124,-102.3083141,6,,11/12/24 0:23
,60:5f:8d:f0:2a:d2,unknown,31.88388124,-102.3083141,40,,11/12/24 0:23
Tineco_0229,be:ff:4d:dc:5b:26,open,31.88388124,-102.3083141,1,,11/12/24 0:23
ATTzZxxumS,18:b8:1f:4d:95:e0,wpa2,31.88388124,-102.3083141,1,,11/12/24 0:23
ATTvhHR3xi,e6:f5:32:fb:ab:43,wpa2,31.88388124,-102.3083141,161,,11/12/24 0:23
House,d8:6c:63:e8:05:df,wpa2,31.88388124,-102.3083141,149,,11/12/24 0:23
House-5G,5c:8f:e0:02:8a:0e,wpa2,31.88388124,-102.3083141,36,,11/12/24 0:23
,60:5f:8d:f0:2a:d5,open,31.88388124,-102.3083141,6,,11/12/24 0:23
Galindo Family,60:5f:8d:f0:2a:d4,wpa2,31.88388124,-102.3083141,40,,11/12/24 0:23
,60:5f:8d:f0:2a:d6,open,31.88388124,-102.3083141,40,,11/12/24 0:23
House,d8:6c:63:e8:08:47,wpa2,31.88388124,-102.3083141,149,,11/12/24 0:23
,f8:f5:32:fb:ab:43,wpa2,31.88388124,-102.3083141,161,,11/12/24 0:23
Tineco_0929,4e:75:25:39:64:66,open,31.88388124,-102.3083141,1,,11/12/24 0:23
House,d8:6c:63:e8:05:e3,wpa2,31.88412648,-102.307262,6,,11/12/24 0:23
